id,label,parent_id,upper_lower,muscle_targets,default_delta_configs,common_names,short_description,sort_order,icon,is_active,source_type,muscle_grouping_id,is_scorable,is_default,is_advanced,motion_type
CHEST_PRESS,Chest Press,,"[""UPPER""]",,,"[""Chest Press"",""Bench Press"",""Press""]",Horizontal pressing pattern emphasizing the chest.,1,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Umbrella
CHEST_PRESS_FLAT,Flat Chest Press,CHEST_PRESS,"[""UPPER""]",,,"[""Flat Bench Press"",""Flat Press"",""Bench Press""]",Chest press on a flat bench/path.,2,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_PRESS_INCLINE,Incline Chest Press,CHEST_PRESS,"[""UPPER""]",,,"[""Incline Bench Press"",""Incline Press""]",Chest press on an incline emphasizing upper chest.,3,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_PRESS_DECLINE,Decline Chest Press,CHEST_PRESS,"[""UPPER""]",,,"[""Decline Bench Press"",""Decline Press""]",Chest press on a decline emphasizing lower chest.,4,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
SHOULDER_PRESS,Shoulder Press,,"[""UPPER""]",,,"[""Shoulder Press"",""Overhead Press"",""OHP""]",Vertical pressing pattern emphasizing the deltoids.,5,,TRUE,admin,SHOULDERS,TRUE,TRUE,FALSE,Standard
CHEST_FLY,Chest Fly,,"[""UPPER""]",,,"[""Chest Fly"",""Pec Fly"",""Fly""]",Horizontal adduction pattern emphasizing the chest.,6,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Umbrella
CHEST_FLY_FLAT,Flat Chest Fly,CHEST_FLY,"[""UPPER""]",,,"[""Flat Fly"",""Dumbbell Fly"",""Cable Fly (Flat)""]",Fly on a flat bench/path emphasizing mid chest.,7,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_FLY_INCLINE,Incline Chest Fly,CHEST_FLY,"[""UPPER""]",,,"[""Incline Fly"",""Incline Dumbbell Fly""]",Fly on an incline emphasizing upper chest.,8,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_FLY_DECLINE,Decline Chest Fly,CHEST_FLY,"[""UPPER""]",,,"[""Decline Fly""]",Fly on a decline emphasizing lower chest.,9,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
TRICEP_EXTENSION,Triceps Extension,,"[""UPPER""]",,,"[""Triceps Extension"",""Tricep Extension""]",Elbow-extension isolation for the triceps.,10,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Umbrella
TRICEP_EXTENSION_OVERHEAD,Overhead Triceps Extension,TRICEP_EXTENSION,"[""UPPER""]",,,"[""Overhead Triceps Extension"",""Overhead Extension""]",Triceps extension performed overhead.,11,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Standard
TRICEP_EXTENSION_PUSHDOWN,Triceps Pushdown,TRICEP_EXTENSION,"[""UPPER""]",,,"[""Triceps Pushdown"",""Cable Pushdown""]",Triceps extension pushing a handle downward.,12,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Standard
DIP,Dip,,"[""UPPER""]",,,"[""Dip"",""Parallel Bar Dip""]",Pressing body upward on bars emphasizing chest/triceps.,13,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Standard
DIP_CHEST,Chest Dip,DIP,"[""UPPER""]",,,"[""Chest Dip"",""Forward-Lean Dip""]",Dip variation emphasizing chest through forward lean.,14,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
DIP_TRICEPS,Triceps Dip,DIP,"[""UPPER""]",,,"[""Triceps Dip"",""Upright Dip""]",Dip variation emphasizing triceps with upright torso.,15,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Standard
SHOULDER_RAISE,Shoulder Raise,,"[""UPPER""]",,,"[""Shoulder Raise"",""Delt Raise"",""Raise""]",Raising the arm to emphasize deltoid heads.,16,,TRUE,admin,SHOULDERS,TRUE,TRUE,FALSE,Umbrella
SHOULDER_RAISE_FRONT,Front Raise,SHOULDER_RAISE,"[""UPPER""]",,,"[""Front Raise""]",Raising the arm forward to emphasize anterior delts.,17,,TRUE,admin,SHOULDERS,TRUE,TRUE,FALSE,Standard
SHOULDER_RAISE_LATERAL,Lateral Raise,SHOULDER_RAISE,"[""UPPER""]",,,"[""Lateral Raise"",""Side Raise""]",Raising the arm out to the side to emphasize lateral delts.,18,,TRUE,admin,SHOULDERS,TRUE,TRUE,FALSE,Standard
SHOULDER_RAISE_SCAPTION,Scaption Raise,SHOULDER_RAISE,"[""UPPER""]",,,"[""Scaption"",""V Raise""]",Raise in the scapular plane (between front and lateral).,19,,TRUE,admin,SHOULDERS,TRUE,TRUE,FALSE,Standard
SHRUG,Shrug,,"[""UPPER""]",,,"[""Shrug"",""DB Shrug"",""Barbell Shrug""]",Scapular elevation emphasizing upper traps.,20,,TRUE,admin,TRAPS,TRUE,TRUE,FALSE,Standard
ROW_HORIZONTAL,Horizontal Row,,"[""UPPER""]",,,"[""Row"",""Seated Row"",""Cable Row""]",Horizontal pulling emphasizing mid-back and lats.,21,,TRUE,admin,BACK_MID,TRUE,TRUE,FALSE,Standard
ROW_HORIZONTAL_HIGH,High Row,ROW_HORIZONTAL,"[""UPPER""]",,,"[""High Row"",""Upper Back Row""]",Higher row path emphasizing upper back/rear delts.,22,,TRUE,admin,BACK_UPPER,TRUE,TRUE,FALSE,Standard
ROW_HORIZONTAL_MID,Mid Row,ROW_HORIZONTAL,"[""UPPER""]",,,"[""Mid Row""]",Neutral row path emphasizing mid-back.,23,,TRUE,admin,BACK_MID,TRUE,TRUE,FALSE,Standard
ROW_HORIZONTAL_LOW,Low Row,ROW_HORIZONTAL,"[""UPPER""]",,,"[""Low Row"",""Lat Row""]",Lower row path emphasizing lats.,24,,TRUE,admin,LATS,TRUE,TRUE,FALSE,Standard
FACE_PULL,Face Pull,,"[""UPPER""]",,,"[""Face Pull""]",Pull to face emphasizing rear delts and rotator cuff.,25,,TRUE,admin,DELTS_REAR,TRUE,TRUE,FALSE,Standard
REVERSE_FLY,Reverse Fly,,"[""UPPER""]",,,"[""Reverse Fly"",""Rear Delt Fly""]",Horizontal abduction emphasizing rear delts and upper back.,26,,TRUE,admin,DELTS_REAR,TRUE,TRUE,FALSE,Standard
PULL_UP,Pull-Up,,"[""UPPER""]",,,"[""Pull-Up"",""Chin-Up"",""Assisted Pull-Up""]",Hanging vertical pull emphasizing lats and upper back.,27,,TRUE,admin,LATS,TRUE,TRUE,FALSE,Standard
PULL_DOWN,Pulldown,,"[""UPPER""]",,,"[""Lat Pulldown"",""Pulldown"",""Cable Pulldown""]",Vertical pull on cable/machine emphasizing lats.,28,,TRUE,admin,LATS,TRUE,TRUE,FALSE,Standard
SHOULDER_EXTENSION,Shoulder Extension,,"[""UPPER""]",,,"[""Shoulder Extension"",""Pullover"",""Straight-Arm Pulldown""]",Shoulder-extension arc with mostly fixed elbows.,29,,TRUE,admin,LATS,TRUE,TRUE,FALSE,Standard
SQUEEZE_PRESS,Squeeze Press,,"[""UPPER""]",,,"[""Squeeze Press"",""Svend Press"",""Plate Press"",""Hex Press""]",Pressing while squeezing implements together to emphasize chest adduction.,30,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CURL,Curl,,"[""UPPER""]",,,"[""Curl"",""Biceps Curl""]",Elbow flexion emphasizing the biceps.,31,,TRUE,admin,BICEPS,TRUE,TRUE,FALSE,Standard
WRIST_FLEXION,Wrist Flexion,,"[""UPPER""]",,,"[""Wrist Flexion"",""Wrist Curl""]",Flexing the wrist to bring the palm toward the forearm.,32,,TRUE,admin,FOREARMS,TRUE,TRUE,FALSE,Standard
WRIST_EXTENSION,Wrist Extension,,"[""UPPER""]",,,"[""Wrist Extension"",""Reverse Wrist Curl""]",Extending the wrist to lift the back of the hand.,33,,TRUE,admin,FOREARMS,TRUE,TRUE,FALSE,Standard
NECK_FLEXION,Neck Flexion,,"[""UPPER""]",,,"[""Neck Flexion""]",Flexing the neck forward against resistance.,34,,TRUE,admin,NECK,TRUE,TRUE,FALSE,Standard
NECK_EXTENSION,Neck Extension,,"[""UPPER""]",,,"[""Neck Extension""]",Extending the neck backward against resistance.,35,,TRUE,admin,NECK,TRUE,TRUE,FALSE,Standard
SHOULDER_EXTERNAL_ROTATION,Shoulder External Rotation,,"[""UPPER""]",,,"[""External Rotation"",""Band ER""]",Rotating the upper arm outward at the shoulder.,36,,TRUE,admin,ROTATOR_CUFF,TRUE,TRUE,FALSE,Mixed
SHOULDER_INTERNAL_ROTATION,Shoulder Internal Rotation,,"[""UPPER""]",,,"[""Internal Rotation"",""Band IR""]",Rotating the upper arm inward at the shoulder.,37,,TRUE,admin,ROTATOR_CUFF,TRUE,TRUE,FALSE,Mixed
HIP_ABDUCTION,Hip Abduction,,"[""LOWER""]",,,"[""Hip Abduction"",""Abductions"",""Outer Thigh"",""Clamshells"",""Lateral Leg Raise""]",Moving the leg away from the body midline.,38,,TRUE,admin,GLUTE_MEDIUS,TRUE,TRUE,FALSE,Mixed
HIP_ADDUCTION,Hip Adduction,,"[""LOWER""]",,,"[""Hip Adduction"",""Adductions"",""Inner Thigh"",""Adductor Machine""]",Moving the leg toward the body midline.,39,,TRUE,admin,THIGHS_INNER,TRUE,TRUE,FALSE,Mixed
DORSIFLEXION,Dorsiflexion,,"[""LOWER""]",,,"[""Dorsiflexion"",""Tib Raises"",""Shin Raises""]",Pulling toes upward toward the shin.,40,,TRUE,admin,SHINS,TRUE,TRUE,FALSE,Mixed
CRUNCH,Crunch,,"[""UPPER"",""LOWER""]",,,"[""Crunch"",""Ab Crunch"",""Sit-Up""]",Trunk flexion emphasizing rectus abdominis.,41,,TRUE,admin,ABS,TRUE,TRUE,FALSE,Standard
LEG_RAISE,Leg Raise,,"[""UPPER"",""LOWER""]",,,"[""Leg Raise"",""Hanging Leg Raise"",""Knee Raise""]",Hip flexion emphasizing lower abs/hip flexors.,42,,TRUE,admin,ABS,TRUE,TRUE,FALSE,Standard
SIDE_BEND,Side Bend,,"[""UPPER"",""LOWER""]",,,"[""Side Bend""]",Lateral trunk flexion emphasizing obliques.,43,,TRUE,admin,OBLIQUES,TRUE,TRUE,FALSE,Standard
TORSO_ROTATION,Torso Rotation,,"[""UPPER"",""LOWER""]",,,"[""Torso Rotation"",""Russian Twist"",""Woodchop""]",Rotating the torso against resistance.,44,,TRUE,admin,OBLIQUES,TRUE,TRUE,FALSE,Standard
PLANK,Plank,,"[""UPPER"",""LOWER""]",,,"[""Plank"",""Front Plank""]",Isometric anterior core brace.,45,,TRUE,admin,CORE_DEEP,TRUE,TRUE,FALSE,Mixed
ANTI_EXTENSION,Anti-Extension,,"[""UPPER"",""LOWER""]",,,"[""Anti-Extension"",""Ab Wheel"",""Rollout""]",Resisting spinal extension via core bracing.,46,,TRUE,admin,CORE_DEEP,TRUE,TRUE,FALSE,Mixed
ANTI_ROTATION,Anti-Rotation,,"[""UPPER"",""LOWER""]",,,"[""Anti-Rotation"",""Pallof Press""]",Resisting torso rotation via core bracing.,47,,TRUE,admin,OBLIQUES,TRUE,TRUE,FALSE,Mixed
ANTI_LATERAL_FLEXION,Anti-Lateral Flexion,,"[""UPPER"",""LOWER""]",,,"[""Anti-Lateral Flexion"",""Suitcase Carry"",""Side Plank""]",Resisting side-bending via core bracing.,48,,TRUE,admin,OBLIQUES,TRUE,TRUE,FALSE,Mixed
VACUUM,Vacuum,,"[""UPPER"",""LOWER""]",,,"[""Vacuum"",""Stomach Vacuum""]",Isometric deep-core bracing emphasizing transverse abdominis.,49,,TRUE,admin,CORE_DEEP,TRUE,TRUE,FALSE,Mixed
EXTENSION_BACK,Back Extension,,"[""LOWER""]",,,"[""Back Extension"",""Hyperextension""]",Extending spine/hips against resistance.,50,,TRUE,admin,BACK_LOWER,TRUE,TRUE,FALSE,Standard
LEG_CURL,Leg Curl,,"[""LOWER""]",,,"[""Leg Curl"",""Hamstring Curl""]",Knee flexion emphasizing hamstrings.,51,,TRUE,admin,HAMSTRINGS,TRUE,TRUE,FALSE,Standard
LEG_EXTENSION,Leg Extension,,"[""LOWER""]",,,"[""Leg Extension""]",Knee extension emphasizing quadriceps.,52,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Standard
THRUST,Hip Thrust,,"[""LOWER""]",,,"[""Hip Thrust"",""Glute Bridge""]",Hip extension with torso supported emphasizing glutes.,53,,TRUE,admin,GLUTES,TRUE,TRUE,FALSE,Standard
STEP_UP,Step-Up,,"[""LOWER""]",,,"[""Step-Up"",""Box Step-Up""]",Stepping onto an elevated surface emphasizing quads/glutes.,54,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Standard
SQUAT,Squat,,"[""LOWER""]",,,"[""Squat""]",Knee-dominant lower-body pattern.,55,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Umbrella
SQUAT_BACK,Back Squat,SQUAT,"[""LOWER""]",,,"[""Back Squat""]",Squat with load on the back.,56,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Standard
SQUAT_FRONT,Front Squat,SQUAT,"[""LOWER""]",,,"[""Front Squat""]",Squat with front-rack load emphasizing quads/upper back.,57,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Standard
HINGE,Hinge,,"[""LOWER""]",,,"[""Hinge"",""Hip Hinge""]",Hip hinge pattern emphasizing posterior chain.,58,,TRUE,admin,HAMSTRINGS,TRUE,TRUE,FALSE,Umbrella
DEADLIFT,Deadlift,HINGE,"[""LOWER""]",,,"[""Deadlift"",""Conventional Deadlift""]",Hinge pulling from floor to standing.,59,,TRUE,admin,HAMSTRINGS,TRUE,TRUE,FALSE,Standard
RDL,Romanian Deadlift,HINGE,"[""LOWER""]",,,"[""RDL"",""Romanian Deadlift"",""Stiff-Leg Deadlift""]",Hinge with minimal knee bend emphasizing hamstrings.,60,,TRUE,admin,HAMSTRINGS,TRUE,TRUE,FALSE,Standard
CALF_RAISE,Calf Raise,,"[""LOWER""]",,,"[""Calf Raise""]",Plantarflexion to raise the heel and train calves.,61,,TRUE,admin,CALVES,TRUE,TRUE,FALSE,Umbrella
CALF_RAISE_BENT,Seated Calf Raise,CALF_RAISE,"[""LOWER""]",,,"[""Seated Calf Raise"",""Bent-Knee Calf Raise""]",Bent-knee calf raise emphasizing soleus.,62,,TRUE,admin,CALVES,TRUE,TRUE,FALSE,Standard
CALF_RAISE_STRAIGHT,Standing Calf Raise,CALF_RAISE,"[""LOWER""]",,,"[""Standing Calf Raise"",""Straight-Leg Calf Raise""]",Straight-knee calf raise emphasizing gastrocnemius.,63,,TRUE,admin,CALVES,TRUE,TRUE,FALSE,Standard
LUNGE,Lunge,,"[""LOWER""]",,,"[""Lunge""]",Unilateral stepping pattern emphasizing quads/glutes.,64,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Umbrella
SPLIT_SQUAT,Split Squat,LUNGE,"[""LOWER""]",,,"[""Split Squat"",""Static Lunge""]",Stationary split-stance squat emphasizing quads/glutes.,65,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Standard
LUNGE_SIDE,Side Lunge,LUNGE,"[""LOWER""]",,,"[""Side Lunge"",""Lateral Lunge""]",Lunge stepping laterally emphasizing adductors/glutes.,66,,TRUE,admin,THIGHS_INNER,TRUE,TRUE,FALSE,Standard
WALL_SIT,Wall Sit,,"[""LOWER""]",,,"[""Wall Sit""]",Isometric squat hold against a wall.,67,,TRUE,admin,QUADS,TRUE,TRUE,FALSE,Standard
OLYMPIC,Olympic Lifts,,"[""UPPER"",""LOWER""]",,,"[""Olympic"",""Weightlifting""]",Explosive Olympic-style barbell lifts.,68,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Umbrella
CLEAN,Clean,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Clean""]",Explosive pull from floor to front-rack catch.,69,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
SNATCH,Snatch,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Snatch""]",Explosive pull from floor to overhead catch.,70,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
CLEAN_AND_JERK,Clean and Jerk,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Clean and Jerk""]",Clean into overhead jerk.,71,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
POWER_CLEAN,Power Clean,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Power Clean""]",Clean caught above parallel emphasizing power.,72,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
HANG_CLEAN,Hang Clean,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Hang Clean""]",Clean starting from hang position.,73,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
POWER_SNATCH,Power Snatch,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Power Snatch""]",Snatch caught above parallel emphasizing power.,74,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
HANG_SNATCH,Hang Snatch,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Hang Snatch""]",Snatch starting from hang position.,75,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
JERK,Jerk,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Jerk""]",Overhead drive from shoulders.,76,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
SPLIT_JERK,Split Jerk,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Split Jerk""]",Jerk caught in split stance.,77,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
PUSH_JERK,Push Jerk,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Push Jerk""]",Jerk caught with shallow dip.,78,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
OLYMPIC_HIGH_PULL,Olympic High Pull,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Olympic High Pull"",""High Pull""]",Explosive high pull without a catch.,79,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
JUMP_SHRUG,Jump Shrug,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Jump Shrug""]",Explosive jump + shrug emphasizing triple extension/traps.,80,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
SNATCH_PULL,Snatch Pull,OLYMPIC,"[""UPPER"",""LOWER""]",,,"[""Snatch Pull""]",Snatch-style pull without catch.,81,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
COMPOSITE,Composite,,"[""UPPER"",""LOWER""]",,,"[""Composite"",""Full Body""]",Systemic full-body combo movements.,82,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Umbrella
THRUSTER,Thruster,COMPOSITE,"[""UPPER"",""LOWER""]",,,"[""Thruster""]",Front squat into overhead press.,83,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
KETTLEBELL_SWING,Kettlebell Swing,COMPOSITE,"[""UPPER"",""LOWER""]",,,"[""Kettlebell Swing"",""KB Swing""]",Explosive hip hinge swing emphasizing posterior chain/core.,84,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
BURPEE,Burpee,COMPOSITE,"[""UPPER"",""LOWER""]",,,"[""Burpee""]",Full-body conditioning movement combining squat/plank/jump.,85,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
BALL_SLAM,Ball Slam,COMPOSITE,"[""UPPER"",""LOWER""]",,,"[""Ball Slam"",""Med Ball Slam""]",Explosive overhead slam emphasizing core/power.,86,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
TURKISH_GET_UP,Turkish Get-Up,COMPOSITE,"[""UPPER"",""LOWER""]",,,"[""Turkish Get-Up"",""TGU""]",Full-body stability/mobility from floor to standing.,87,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
MUSCLE_UP,Muscle-Up,COMPOSITE,"[""UPPER""]",,,"[""Muscle-Up""]",Transition from pull-up to dip requiring upper-body power.,88,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
FARMERS_WALK,Farmerâ€™s Walk,COMPOSITE,"[""UPPER"",""LOWER""]",,,"[""Farmer's Walk"",""Farmers Walk"",""Loaded Carry""]","Loaded carry emphasizing grip, core, and posture.",89,,TRUE,admin,FULL_BODY,TRUE,TRUE,FALSE,Standard
